id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37096987,spacious loft in wicker park,1364115,Michele,West Town,41.90958,-87.67557,Entire home/apt,55,2,8,5/25/20,0.61,1,2
37099236,Sonder *Weekly Discounts* 2BR in South Loop,12243051,Sonder,Loop,41.87053,-87.62361,Entire home/apt,234,3,13,8/27/20,0.92,47,187
37100170,Nice lovely room- easy parking,47880619,Hakan,West Town,41.89827,-87.67834,Private room,80,1,8,10/23/19,0.58,1,60
37107126,Sonder | 1BR Near Trader Joe's,12243051,Sonder,Loop,41.87184,-87.62375,Entire home/apt,177,3,33,9/4/20,2.39,47,189
37107960,Sleek Dupont Circle 1BR w/ W/D + Gym near Georgetown by Blueground,107434423,Blueground,Near North Side,41.8989,-87.62797,Entire home/apt,212,30,0,,,205,41
37109075,Sonder *Monthly Discounts* 2BR at Essex on the Park,12243051,Sonder,Loop,41.87266,-87.62541,Entire home/apt,256,3,64,8/30/20,4.52,47,189
37113529,Vintage West Town Charmer; Steps to Grand Ave Bus,11981271,Cory,West Town,41.89236,-87.67974,Entire home/apt,105,3,19,6/16/20,1.38,2,355
37123109,Sonder for Lollapalooza weekend,72761316,Sherri,Loop,41.87524,-87.62925,Entire home/apt,525,4,0,,,1,365
37125424,Chicago Luxury Abode SANITIZED+Microbial AirFilter,8540884,Faraz,Near West Side,41.88723,-87.6445,Entire home/apt,144,3,16,9/20/20,1.34,2,155
37142836,2 Bedroom Unit For Long-term Stay,200838921,Francis,Avondale,41.9335,-87.72312,Entire home/apt,65,3,3,7/8/20,0.22,3,20
37143579,Lincoln Park studio cozy comfort,48001273,Tasha,Lincoln Park,41.93023,-87.66195,Entire home/apt,42,2,7,6/28/20,0.9,1,263
37145360,Skyrise in the Heart of Downtown Chicago,118889837,Chris,Loop,41.88463,-87.63575,Entire home/apt,425,2,0,,,1,365
37149589,Ravenswood Manor! Clean and priced right.,9731691,Kolleen,Albany Park,41.96151,-87.70393,Entire home/apt,53,2,12,3/30/20,0.87,1,112
37149805,Luxury 2Bdrm w/ Private Garden Patio! (J),11129557,Rent Local,Lake View,41.95308,-87.65159,Entire home/apt,123,1,29,9/5/20,2.2,9,39
37150695,Luxury 2Bdrm w/ 3 King Beds + Wrigley View! (U),11129557,Rent Local,Lake View,41.95308,-87.65159,Entire home/apt,135,1,39,8/13/20,2.92,9,35
37151701,Luxury Loft w/ Gym & WRIGLEY FIELD VIEWS! (&),11129557,Rent Local,Lake View,41.95308,-87.65159,Entire home/apt,124,1,48,9/13/20,3.56,9,39
37154134,Furnished Uptown Express studio off Redline,32344711,Shawn,Uptown,41.96548,-87.6632,Entire home/apt,65,30,2,8/31/20,0.72,3,140
37155635,Luxury Wrigleyville 2Bedroom w/ 3 King Beds! (L),11129557,Rent Local,Lake View,41.95308,-87.65159,Entire home/apt,124,1,33,9/13/20,2.43,9,39
37155897,Wrigleyville Lux 2Bdrm w/ 3 Kings + City View! (H),11129557,Rent Local,Lake View,41.95308,-87.65159,Entire home/apt,134,1,26,9/19/20,1.93,9,31
37157210,Vibrant Condo Style 2BDR Near Midway Airport,147648729,Mel,Ashburn,41.74562,-87.70373,Entire home/apt,120,2,12,3/31/20,0.87,5,174
37159021,Vibrant; Studio Apartment Near Midway Airport & DT,147648729,Mel,Ashburn,41.74412,-87.70151,Entire home/apt,49,2,8,7/28/20,0.58,5,332
37178942,Whole house in Lakeview,29854235,Nick,Lake View,41.93733,-87.655,Entire home/apt,1200,2,0,,,1,270
37198925,2BR Elevator Bldg Condo - Steps to Restaurant Row!,22580828,Derek,Near West Side,41.88731,-87.64586,Entire home/apt,144,4,32,9/12/20,2.35,1,227
37201923,Comfy full-sized bed in living room area,48093605,Jeremiah,Humboldt Park,41.89967,-87.70762,Shared room,41,1,6,3/16/20,0.48,2,365
37215644,"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",47172572,Zencity,Hyde Park,41.80127,-87.58988,Entire home/apt,68,1,32,4/2/20,2.39,62,71
37248792,Premium 1BR Corner Unit + Balcony and Lake Views!,63313003,K,Loop,41.88759,-87.61898,Entire home/apt,149,30,0,,,31,365
37252894,Shangri La above the Quad,48873294,Courtland,Lincoln Park,41.92586,-87.65645,Entire home/apt,150,1,37,9/8/20,2.72,1,174
37281104,Retro-Chic Urban Oasis,271936375,Naina,West Ridge,41.99167,-87.69918,Entire home/apt,86,2,10,9/8/20,1.58,1,258
37283529,3RR Attached Priv Bath/Priv Room Steps from S Loop,100782278,Emily & Rich,Bridgeport,41.84249,-87.63891,Private room,51,41,1,8/10/19,0.07,28,244
37283545,3R Location! Steps from South Loop 2bed/2bath Apt,100782278,Emily & Rich,Bridgeport,41.84435,-87.64024,Entire home/apt,75,41,4,8/10/20,0.35,28,244
37300218,Restoring Chicago of the 1920's speakeasy. Room 3A,51668477,Michael,Near North Side,41.88885,-87.63097,Private room,99,1,58,9/20/20,4.17,8,348
37308383,"Chic, Spotless & Great Location 1BR in Lakeview",148973907,Mia & Noah,Lake View,41.94361,-87.64116,Entire home/apt,95,1,37,9/13/20,2.67,21,218
37326412,Mapletree Suites 2BR+2BA | Chicago West Loop,245080472,Darshan,Near West Side,41.87426,-87.65047,Entire home/apt,125,14,0,,,1,118
37327751,"Urban oasis in charming, safe neighborhood",2957900,Nicole,North Center,41.9509,-87.68098,Entire home/apt,125,14,2,10/5/19,0.17,1,83
37333669,Peaceful vibes/ complimentary homemade breakfast,70727229,Whitney,Rogers Park,42.01763,-87.67353,Private room,65,1,28,8/29/20,2.32,1,204
37334586,*3 Bed 2 Full Bath Elegant Penthouse In Chicago,281192928,Moe,Irving Park,41.95602,-87.70052,Entire home/apt,121,4,13,7/30/20,0.94,1,139
37338259,The Cozy Getaway,162319793,Khamiya,Chatham,41.74635,-87.6014,Entire home/apt,49,1,13,5/28/20,0.95,1,111
37355231,Cozy & Quiet Gem in Wicker Park,53956942,Neil,West Town,41.90243,-87.68,Entire home/apt,94,3,25,9/18/20,2.8,1,352
37361879,3BDR/2BATH Modern Apt in South Loop,260805765,Paul,Loop,41.87182,-87.63029,Entire home/apt,400,2,0,,,6,90
37364231,2br/2ba Overlooking Chicago Loop!,33127842,Kari,Loop,41.8836,-87.63537,Entire home/apt,131,32,2,11/30/19,0.18,26,365
37365067,"4-Need a room? Spacious, near trains, great price!",26415921,Warren,Albany Park,41.9704,-87.71879,Private room,23,1,30,3/23/20,2.22,5,232
37371164,The Greystone ~ 7mins to Lakefront/DowntownChicago,1571256,Dom,Grand Boulevard,41.81832,-87.61771,Entire home/apt,205,2,7,9/20/20,3.56,1,88
37371325,5 BD Bronzeville Gem Near Loop/McCormick/Museums,178356036,W.H.G.S.,Douglas,41.83245,-87.62147,Entire home/apt,368,3,24,8/9/20,1.97,3,341
37380402,Quiet Oasis on the Lake,10921133,Steve And Phyll,Rogers Park,42.01905,-87.66477,Entire home/apt,89,45,1,12/20/19,0.11,2,227
37397842,✨|Beautiful|Comfy|1br|✨LincolnSq.|Near Wrigley| ✨,96730613,Demitri,Lincoln Square,41.96627,-87.68555,Entire home/apt,83,3,59,9/16/20,4.41,3,66
37417133,"Rogers Park Gem Full Apt near NU, Loyola, Red line",40736013,Margo,Rogers Park,42.01676,-87.66539,Entire home/apt,79,6,13,8/31/20,1.01,1,134
37454066,3RF Attached Priv Bath/Priv Room Steps from S Loop,100782278,Emily & Rich,Bridgeport,41.84287,-87.64055,Private room,54,41,0,,,28,325
37454958,2F Location! Steps from South Loop 1bed/1bath Apt.,100782278,Emily & Rich,Bridgeport,41.84477,-87.64012,Entire home/apt,75,41,3,1/2/20,0.22,28,329
37480287,Huge 2 Story APT in heart of trendy River North,282750634,Kenneth,Near North Side,41.89002,-87.62906,Private room,150,1,13,3/15/20,1.11,1,180
37502066,Bright Comfortable Pilsen Artist Pad,220745297,Aaron,Lower West Side,41.85481,-87.67632,Entire home/apt,89,30,6,3/31/20,0.67,1,92
37503122,Sonder | Spacious 1BR in South Loop Near Trader Joe's,12243051,Sonder,Loop,41.8704,-87.62527,Entire home/apt,246,3,84,8/31/20,6.41,47,189
37521255,Private Beachfront Retreat includes parking,252595263,Beach House,Rogers Park,42.01092,-87.66349,Entire home/apt,242,1,21,6/26/20,1.55,4,164
37524366,Arte Haus Gallery SE Beach Area-Whole Condo,188975516,Maarcus,Oakland,41.81991,-87.60424,Entire home/apt,95,5,14,8/15/20,1.09,1,53
37526169,Bedroom in Chicago's Northside,17929135,John,Uptown,41.95927,-87.64729,Private room,49,2,14,3/16/20,1.03,2,72
37540495,Sonder *Monthly Discounts* Studio Near Grant Park,12243051,Sonder,Loop,41.87227,-87.62412,Entire home/apt,140,3,78,7/19/20,5.84,47,189
37551145,2R Location! Steps from South Loop 2bed/2bath Apt.,100782278,Emily & Rich,Bridgeport,41.84242,-87.64006,Entire home/apt,84,31,1,3/11/20,0.15,28,305
37551383,2RR Attached Priv Bath/Priv Room Steps from S Loop,100782278,Emily & Rich,Bridgeport,41.84254,-87.63829,Private room,50,41,0,,,28,365
37558808,2RF Attached Priv Bath/Priv Room Steps from S Loop,100782278,Emily & Rich,Bridgeport,41.84407,-87.63897,Private room,48,41,2,8/10/20,0.15,28,305
37563749,WF Home,263951019,Wf,Bridgeport,41.83652,-87.64551,Entire home/apt,89,2,25,8/31/20,1.93,4,56
37566107,"Spacious 3 BR close to Beach, Red Line and Loyola",247334879,Bill,Rogers Park,42.00031,-87.66227,Entire home/apt,186,2,17,8/12/20,1.29,1,153
37571608,Rm3 Quiet&Cozy CityLakeHouse Chicago—Nonsmkrs Only,919044,Caroline,South Shore,41.75891,-87.56486,Private room,30,30,0,,,4,171
37596406,"Wrigley, Btown, Train | Bright Spacious | Zencity",47172572,Zencity,Lake View,41.9406,-87.65583,Entire home/apt,88,1,50,9/7/20,3.82,62,144
37596429,Real place's west 2nd floor space,262478769,Don,West Englewood,41.77095,-87.67386,Private room,55,1,2,10/14/19,0.16,4,363
37596891,Stunning Chicago Chateau in Rogers Park,79076365,Zarena,Rogers Park,42.01642,-87.68387,Entire home/apt,85,2,2,9/21/20,2,2,75
37598637,"Luxury apt, great WiFi in Boystown/Cubs area ✨",7958886,Les Petites,Uptown,41.95481,-87.65016,Entire home/apt,87,1,57,9/7/20,4.26,9,238
37623038,Luxury Corner Unit 2Bdrm w/ Private Garden Patio,11129557,Rent Local,Lake View,41.95308,-87.64878,Entire home/apt,134,1,32,9/14/20,2.35,9,24
37638427,MERCH MART LUX 1BR/1BA KING BED + PRIVATE BALCONY,63313003,K,Near North Side,41.89001,-87.63294,Entire home/apt,155,32,0,,,31,365
37638808,King size bed/private bedroom in the ❤️ of Chicago!,8332157,Co.,Near North Side,41.89504,-87.62954,Private room,111,14,2,11/24/19,0.19,2,177
37682233,1R Location! Steps to South Loop 1bed/1bath Apt,100782278,Emily & Rich,Bridgeport,41.84322,-87.63896,Entire home/apt,57,41,5,8/8/20,0.37,28,353
37691770,Safe and nice place to live with everything around,284888608,William,Rogers Park,42.00451,-87.67851,Entire home/apt,46,1,1,9/4/19,0.08,1,263
37705237,Comfy Private Room Great Neighborhood!(Near Ohare),284855399,Zhanara,Ohare,41.97654,-87.83983,Private room,27,5,6,2/12/20,0.73,1,96
37711430,Modern Apartment w/ a Classic Chicago Movie Theme!,12266364,Darin,West Town,41.89095,-87.68466,Entire home/apt,89,2,39,9/4/20,3.02,2,13
37711825,Fun/Safe/Comfort in Logan Square,39860867,John,Avondale,41.93375,-87.70354,Entire home/apt,89,2,0,,,1,338
37718293,"Blue Room-Well lit, cozy affordable private room",4992585,Eric,Irving Park,41.95894,-87.70654,Private room,45,4,0,,,2,180
37718351,"Feel at home. CLOSE TO Downtown, Walk/train/bus",214684069,Rushan,Edgewater,41.98514,-87.65721,Private room,80,1,0,,,1,60
37740790,Splendid Skyscraper in the Heart of Chicago,260805765,Paul,Near West Side,41.88302,-87.64447,Entire home/apt,400,2,3,11/19/19,0.24,6,90
37751102,A Stylish Stay in Chicago's Wicker Park.,285479498,Christopher,West Town,41.90953,-87.68343,Private room,90,2,4,9/20/19,0.31,1,60
37754323,Kasa | Chicago | Heavenly 2BD/2BA South Loop Apartment,88566861,Kasa,Loop,41.87074,-87.63189,Entire home/apt,185,2,32,9/4/20,2.67,45,344
37768843,S9 Beautiful Convertible in Old Town,23612069,Tj,Near North Side,41.90688,-87.63515,Entire home/apt,69,1,40,8/23/20,3.05,15,87
37774710,✦FANTASTIC LOCATION MICHIGAN AVE + ROOF TOP DECK ✦,4384965,Tom,Near North Side,41.89138,-87.61729,Entire home/apt,54,60,0,,,10,365
37782577,"Opposite to UIC, Quick access to Downtown!",250226526,Hasti,Near West Side,41.87477,-87.65672,Private room,65,2,0,,,1,87
37784682,Comfy and convenient in Lincoln Square,6305758,Erica,Lincoln Square,41.9707,-87.69713,Private room,55,2,4,3/14/20,0.4,1,295
37796304,Kasa | Chicago | Spacious 3BD/2BA South Loop Apartment,88566861,Kasa,Loop,41.86953,-87.6317,Entire home/apt,213,2,37,9/7/20,3.18,45,321
37803662,ONE EXTRA CLEANING SERVICE- LUX HIGH RISE,260805765,Paul,Near North Side,41.89451,-87.63237,Entire home/apt,400,30,3,11/4/19,0.24,6,90
37811297,"Charming Apartment w Fitness Center, Wash/Dry City",62066342,Rafaello,Near North Side,41.89333,-87.63684,Entire home/apt,89,70,0,,,5,311
37813951,Cozy Home Away From Home -Sleeps 5,286215904,Ceola,New City,41.80114,-87.67336,Entire home/apt,95,2,2,10/21/19,0.17,1,180
37833328,DELUXE 1BR CORNER UNIT OVERLOOKING LAKE + BALCONY,33127842,Kari,Loop,41.88664,-87.61861,Entire home/apt,150,32,1,2/15/20,0.14,26,365
37853442,House 5BED/3BATH/1PARKING close to Downtown & Lake,129809208,Junni,West Ridge,41.99149,-87.67832,Entire home/apt,298,2,25,8/30/20,1.87,3,342
37883631,Bright and Spacious Master Suite in Humboldt Park,45366096,Isaac,West Town,41.90593,-87.69261,Entire home/apt,37,3,46,7/28/20,3.65,1,6
37900368,Historical Neighborhood North Lawndale,287096873,Toriano,North Lawndale,41.85568,-87.71614,Entire home/apt,100,3,3,5/31/20,0.24,1,179
37912562,Tourists looking to enjoy small town in Chicago,256027720,Katibu,Morgan Park,41.69593,-87.66522,Private room,35,1,2,8/4/20,0.16,1,364
37933545,Cozy Room in Old Town,1649428,Vara,Lincoln Park,41.91452,-87.63769,Private room,63,1,11,1/10/20,0.87,1,50
37936352,Beautiful apartment with only 15 mins to downtown.,212174847,Alexis,Irving Park,41.96708,-87.7455,Entire home/apt,150,2,0,,,1,179
37942661,Comfortable Vintage North Side Retreat for 8,240272630,David,North Center,41.95979,-87.67907,Entire home/apt,134,3,26,9/16/20,2.06,2,348
37959999,Clean 2 bedroom in classic Chicago 2 flat,23975645,Jeremy,Humboldt Park,41.91072,-87.70918,Entire home/apt,115,1,22,9/20/20,1.95,2,359
37967120,2 bdrm with FREE garage parking in Lakeview,59206850,James,Lake View,41.93861,-87.65207,Entire home/apt,105,3,23,9/20/20,1.85,1,61
37974900,K2. Next to Downtown.Best location&Most affordable,287840194,Coromoto,Armour Square,41.84025,-87.63313,Private room,29,3,24,8/31/20,1.82,3,90
37975073,K3. Next to Downtown.Best location&Most affordable,287840194,Coromoto,Armour Square,41.84048,-87.63269,Private room,29,2,38,9/3/20,2.89,3,85
37983885,"Homey Loop 1BR w/ Gym, W/D, near Mag Mile & Parks, by Blueground",107434423,Blueground,Loop,41.87976,-87.62663,Entire home/apt,112,30,0,,,205,365
37986613,"Sharp River North 1BR w/ Gym, W/D, near Oak Street, by Blueground",107434423,Blueground,Near North Side,41.89678,-87.63171,Entire home/apt,139,30,0,,,205,314
37989627,Hyde Park Row House,58914390,Leslee,Hyde Park,41.79707,-87.60323,Entire home/apt,145,3,0,,,2,362
37993238,Downtown Chicago 4 Person Get-Away,64065593,ResortShare5,Loop,41.87574,-87.62975,Entire home/apt,299,2,2,10/24/19,0.17,2,323
37994646,Apartment in a winning location,74766727,Hen,West Town,41.91252,-87.69232,Private room,43,31,0,,,1,365
38001154,Whole appartment that is close to downtown Chicago,143406371,James,Chatham,41.75042,-87.6134,Entire home/apt,40,7,7,8/21/20,0.55,4,358
38017199,Luxury Modern Loft (Soldier Field & McCormick Pl),5019743,Jacqueline,Near South Side,41.85668,-87.62229,Private room,75,3,21,2/16/20,1.67,1,170
38021812,South of the Shore Beautiful Retreat,288477898,Andrew,South Shore,41.76428,-87.59331,Entire home/apt,50,4,12,7/17/20,0.93,1,139
38022363,Unique artist-designed space and a vintage vibe!,288480886,Arielle,Lower West Side,41.85657,-87.65956,Entire home/apt,91,1,37,9/13/20,3.12,1,165
38023244,HUGE 1700 sqft 3bd West Loop Penthouse w/ Balcony,61964254,Humble,Near West Side,41.88175,-87.66861,Entire home/apt,176,1,41,9/14/20,3.88,1,61
38029850,Beautiful cozy place A1,183258122,Santiago,New City,41.79579,-87.66141,Private room,25,1,8,6/26/20,0.64,7,155
38044470,Voted best neighborhood in Chicago. Come see why,20829369,Joe,Logan Square,41.92907,-87.70368,Entire home/apt,104,3,20,3/16/20,1.62,1,80
38045144,Elegant Loft Close to Downtown Chicago! Near UIC!,288686625,Jonta,Englewood,41.79281,-87.63315,Entire home/apt,99,1,0,,,1,365
38066904,Urban Coach Penthouse - Minutes from downtown,127847265,Martin,South Lawndale,41.85374,-87.69625,Entire home/apt,60,2,13,9/7/20,1.07,2,286
38075680,Entire Basement Cozy and Spacious 1B1B near O’hare,209162653,Shihui & Han,Jefferson Park,41.97433,-87.7804,Shared room,33,1,44,8/30/20,3.53,1,97
38078250,Kings Tower*1 Suites,35558926,Tory,Washington Park,41.78708,-87.62126,Entire home/apt,180,30,0,,,4,365
38087699,BERNARD CHATEAU - LOGAN SQUARE,11013693,Clemencia,Logan Square,41.92769,-87.71267,Entire home/apt,128,2,50,9/6/20,4,2,146
38090415,LOCATION!!! 1 BEDROOM APARTMNET ON MICHIGAN AVE,55199486,Furnished Rental,Near North Side,41.89824,-87.6206,Entire home/apt,135,31,0,,,15,358
38090971,Godfrey Hotel Lifestyle Rooftop 4.5*-King Deluxe,185021145,Godfrey Hotel,Near North Side,41.89543,-87.6316,Private room,195,1,100,8/30/20,9.93,4,365
38091553,Godfrey Hotel Lifestyle Rooftop 4.5*-Double Deluxe,185021145,Godfrey Hotel,Near North Side,41.89488,-87.63121,Private room,227,1,17,6/12/20,1.71,4,365
38091600,Godfrey Hotel Lifestyle Rooftop 4.5*-KingExecutive,185021145,Godfrey Hotel,Near North Side,41.8939,-87.63234,Private room,257,1,3,4/24/20,0.3,4,364
38091740,Godfrey Hotel Lifestyle Rooftop 4.5* - King Suite,185021145,Godfrey Hotel,Near North Side,41.89394,-87.63309,Private room,299,1,2,1/18/20,0.23,4,365
38094526,"Classic, Luxury Apartment on Lincoln Park",10489393,Lin,Lincoln Park,41.92898,-87.63928,Entire home/apt,108,90,0,,,1,358
38099421,"Nice 2 Bed, 1 Bath in Logan Square! 2 Queen Beds",124143623,Justin,Logan Square,41.92016,-87.71469,Entire home/apt,68,1,13,8/29/20,1.05,3,130
38103887,420 friendly Enjoying all Seasons in a Cozy Place,35342456,Roberto,Portage Park,41.93873,-87.75671,Private room,59,2,0,,,16,361
38104970,Pilsen Apartment,12005050,Ashley,Lower West Side,41.85303,-87.66862,Entire home/apt,85,3,13,7/12/20,1.05,1,158
38108212,Bedroom in Bohemian House Near Downtown Chicago,263935669,Elena,South Lawndale,41.85286,-87.69753,Private room,40,30,0,,,1,350
38108758,Sept 21-23 Special $59 WickerPk 2Bdrm Apt Sleeps 6,267737048,Cheryl,West Town,41.90677,-87.67344,Entire home/apt,85,1,64,9/18/20,5.16,3,90
38120553,"Modern, warm and welcoming apartment in A'Ville",16593103,Andrew,Edgewater,41.98255,-87.67187,Entire home/apt,175,2,27,8/31/20,2.17,2,307
38130834,KINGSTOWER SUITS #2,35558926,Tory,Washington Park,41.78686,-87.62257,Private room,180,1,0,,,4,365
38131074,KINGSTOWER suit#3,35558926,Tory,Washington Park,41.78695,-87.62246,Private room,92,1,2,10/20/19,0.17,4,365
38131350,KINGSTOWER minisuits #4,35558926,Tory,Washington Park,41.78691,-87.62221,Shared room,100,1,1,9/1/19,0.08,4,365
38133731,5mins UChicago Medical Center. LightFilled Windows,1385332,Patt,Woodlawn,41.78327,-87.60793,Private room,37,32,1,8/21/20,0.94,12,364
38134829,3Bedrooms/Pool Table/Convenient location/Sleeps 8!,84162651,Matthew,Irving Park,41.9484,-87.70611,Entire home/apt,103,2,27,9/13/20,2.73,1,90
38154062,Bespoke West Side 2BR Vintage w/Free Parking,30075521,Kay,Near West Side,41.87895,-87.68391,Entire home/apt,89,1,36,9/13/20,2.81,1,162
38157331,1F Location! Steps to South Loop 2bed/1bath Apt,100782278,Emily & Rich,Bridgeport,41.84238,-87.63835,Entire home/apt,70,41,5,8/10/20,0.48,28,315
